Name,Description,URL
action-tmate,Debug your GitHub Actions via SSH by using tmate to get access to the runner system itself.,https://github.com/mxschmitt/action-tmate
blog-post-workflow,Show your latest blog posts from any sources or StackOverflow activity or Youtube Videos on your GitHub profile/project readme automatically using the RSS feed,https://github.com/gautamkrishnar/blog-post-workflow
ts-nextjs-tailwind-starter,🔋 Next.js + Tailwind CSS + TypeScript starter and boilerplate packed with useful development features,https://github.com/theodorusclarence/ts-nextjs-tailwind-starter
github-stats,Better GitHub statistics images for your profile, with stats from private repos too,https://github.com/jstrieb/github-stats
actionlint,:octocat: Static checker for GitHub Actions workflow files,https://github.com/rhysd/actionlint
setup-php,GitHub action to set up PHP with extensions, php.ini configuration, coverage drivers, and various tools.,https://github.com/shivammathur/setup-php
fastapi-realworld-example-app,Backend logic implementation for https://github.com/gothinkster/realworld with awesome FastAPI,https://github.com/nsidnev/fastapi-realworld-example-app
DevOps,I created this repository to keep my learning, notes, and code in one place for various tools in DevOps. Now, it's helping thousands of learners, practitioners, and professionals every day in their DevOps journey.,https://github.com/Pradumnasaraf/DevOps
terraform-aws-github-runner,Terraform module for scalable GitHub action runners on AWS,https://github.com/github-aws-runners/terraform-aws-github-runner
cargo-make,Rust task runner and build tool.,https://github.com/sagiegurari/cargo-make
paths-filter,Conditionally run actions based on files modified by PR, feature branch or pushed commits,https://github.com/dorny/paths-filter
flutter-action,Flutter environment for use in GitHub Actions. It works on Linux, Windows, and macOS.,https://github.com/subosito/flutter-action
git-auto-commit-action,Automatically commit and push changed files back to GitHub with this GitHub Action for the 80% use case.,https://github.com/stefanzweifel/git-auto-commit-action
docker_image_pusher,使用Github Action将国外的Docker镜像转存到阿里云私有仓库，供国内服务器使用，免费易用,https://github.com/tech-shrimp/docker_image_pusher
typescript-action,Create a TypeScript Action with tests, linting, workflow, publishing, and versioning,https://github.com/actions/typescript-action
zizmor,A static analysis tool for GitHub Actions,https://github.com/woodruffw/zizmor
changed-files,:octocat: Github action to retrieve all (added, copied, modified, deleted, renamed, type changed, unmerged, unknown) files and directories.,https://github.com/tj-actions/changed-files
cibuildwheel,🎡 Build Python wheels for all the platforms with minimal configuration. ,https://github.com/pypa/cibuildwheel
Gmeek,Gmeek is a Blog All in Github,https://github.com/Meekdai/Gmeek
18-comic-finder,禁漫天堂Github Actions下载器🧘,https://github.com/jiayaoO3O/18-comic-finder
docker-github-actions-runner,This will run the new self-hosted github actions runners with docker-in-docker,https://github.com/myoung34/docker-github-actions-runner
kotlin-android-template,Android + Kotlin + Github Actions + ktlint + Detekt + Gradle Kotlin DSL + buildSrc = ❤️,https://github.com/cortinico/kotlin-android-template
JMComic-APK,防迷路 | 禁漫天堂APK | 禁漫APP安卓安装包 | jm天堂 | GitHub Actions ,https://github.com/hect0x7/JMComic-APK
modern-cpp-template,A template for modern C++ projects using CMake, Clang-Format, CI, unit testing and more, with support for downstream inclusion.,https://github.com/filipdutescu/modern-cpp-template
setup-gcloud,A GitHub Action for installing and configuring the gcloud CLI.,https://github.com/google-github-actions/setup-gcloud
stepci,Automated API Testing and Quality Assurance,https://github.com/stepci/stepci
covid19-dashboard,A site that displays up to date COVID-19 stats, powered by fastpages.,https://github.com/github/covid19-dashboard
actions-hugo,GitHub Actions for Hugo ⚡️ Setup Hugo quickly and build your site fast. Hugo extended, Hugo Modules, Linux (Ubuntu), macOS, and Windows are supported.,https://github.com/peaceiris/actions-hugo
image-actions,A Github Action that automatically compresses JPEGs, PNGs and WebPs in Pull Requests.,https://github.com/calibreapp/image-actions
lost-pixel,Open source alternative to Percy, Chromatic, Applitools.,https://github.com/lost-pixel/lost-pixel
github-action,GitHub Action for running Cypress end-to-end & component tests,https://github.com/cypress-io/github-action
wrangler-action,🧙‍♀️ easily deploy cloudflare workers applications using wrangler and github actions,https://github.com/cloudflare/wrangler-action
create-release,An Action to create releases via the GitHub Release API,https://github.com/actions/create-release
scp-action,GitHub Action that copy files and artifacts via SSH.,https://github.com/appleboy/scp-action
ssh-agent,GitHub Action to setup `ssh-agent` with a private key,https://github.com/webfactory/ssh-agent
AutoPR,Run AI-powered workflows over your codebase,https://github.com/irgolic/AutoPR
github-certification-guide,Resources to help you get GitHub certified ✨,https://github.com/LadyKerr/github-certification-guide
30-seconds-web,Website infrastructure for 30-seconds projects.,https://github.com/Chalarangelo/30-seconds-web
lighthouse-ci-action,Audit URLs using Lighthouse and test performance with Lighthouse CI.,https://github.com/treosh/lighthouse-ci-action
latex-action,:octocat: GitHub Action to compile LaTeX documents,https://github.com/xu-cheng/latex-action
add-and-commit,:octocat: Automatically commit changes made in your workflow run directly to your repo,https://github.com/EndBug/add-and-commit
python-project-template,DO NOT FORK, CLICK ON "Use this template" - A github template to start a Python Project - this uses github actions to generate your project based on the template.,https://github.com/rochacbruno/python-project-template
rdm-builder,Redis Desktop Manager Builder,https://github.com/FuckDoctors/rdm-builder
login-action,GitHub Action to login against a Docker registry,https://github.com/docker/login-action
action-slack-notify,GitHub Action for sending a notification to a Slack channel,https://github.com/rtCamp/action-slack-notify
DockerTarBuilder,它是一个工作流。可快速构建指定架构/平台的docker镜像,https://github.com/wukongdaily/DockerTarBuilder
JMComic-Crawler-Python,Python API for JMComic | 提供Python API访问禁漫天堂，同时支持网页端和移动端 | 禁漫天堂GitHub Actions下载器🚀,https://github.com/hect0x7/JMComic-Crawler-Python
rig,The DevEx & Application-layer for your Internal Developer Platform ⛵,https://github.com/rigdev/rig
s3-sync-action,🔄 GitHub Action to sync a directory with a remote S3 bucket 🧺,https://github.com/jakejarvis/s3-sync-action
gh-actions-importer,GitHub Actions Importer helps you plan and automate the migration of Azure DevOps, Bamboo, Bitbucket, CircleCI, GitLab, Jenkins, and Travis CI pipelines to GitHub Actions.,https://github.com/github/gh-actions-importer
tauri-action,Build your Web application as a Tauri binary for macOS, Linux and Windows,https://github.com/tauri-apps/tauri-action
slack-github-action,Send data into Slack using this GitHub Action!,https://github.com/slackapi/slack-github-action
setup-buildx-action,GitHub Action to set up Docker Buildx,https://github.com/docker/setup-buildx-action
github-actions-golang,GitHub Actions as CI for Go,https://github.com/mvdan/github-actions-golang
auth,A GitHub Action for authenticating to Google Cloud.,https://github.com/google-github-actions/auth
hub-mirror,🚀 Docker 镜像代理，通过 GitHub Actions 将 docker.io、gcr.io、registry.k8s.io、k8s.gcr.io、quay.io、ghcr.io 等国外镜像转换为国内镜像加速下载,https://github.com/togettoyou/hub-mirror
android-emulator-runner,A GitHub Action for installing, configuring and running hardware-accelerated Android Emulators on macOS virtual machines.,https://github.com/ReactiveCircus/android-emulator-runner
Cilicon,🛠️ Self-Hosted ephemeral macOS CI on Apple Silicon,https://github.com/traderepublic/Cilicon
node-typescript-koa-rest,REST API boilerplate using NodeJS and KOA2, typescript. Logging and JWT as middlewares. TypeORM with class-validator, SQL CRUD. Docker included. Swagger docs, actions CI and valuable README,https://github.com/javieraviles/node-typescript-koa-rest
action-setup,Install pnpm package manager,https://github.com/pnpm/action-setup
gh-action-pypi-publish,The blessed :octocat: GitHub Action, for publishing your :package: distribution files to PyPI, the tokenless way: https://github.com/marketplace/actions/pypi-publish,https://github.com/pypa/gh-action-pypi-publish
heroku-deploy,A simple github action that dynamically deploys an app to heroku,https://github.com/AkhileshNS/heroku-deploy
actions,GitHub Actions for the R community,https://github.com/r-lib/actions
angular-cli-ghpages,🚀 Deploy your 🅰️Angular app to GitHub pages, Cloudflare Pages or any other Git repo directly from the Angular CLI! Available on NPM.,https://github.com/angular-schule/angular-cli-ghpages
metadata-action,GitHub Action to extract metadata (tags, labels) from Git reference and GitHub events for Docker,https://github.com/docker/metadata-action
osmosfeed,Turn GitHub into an RSS reader,https://github.com/osmoscraft/osmosfeed
cancel-workflow-action,⏹️ GitHub Action to cancel previous running workflows on push,https://github.com/styfle/cancel-workflow-action
actions-toolkit,🛠 A toolkit for building GitHub Actions in Node.js,https://github.com/JasonEtco/actions-toolkit
firebase-action,GitHub Action for interacting with Firebase,https://github.com/w9jds/firebase-action
HowToStartOpenSource,⚗️ GitHub开源项目维护协作指南,https://github.com/eryajf/HowToStartOpenSource
energy-forecasting,🌀 𝗧𝗵𝗲 𝗙𝘂𝗹𝗹 𝗦𝘁𝗮𝗰𝗸 𝟳-𝗦𝘁𝗲𝗽𝘀 𝗠𝗟𝗢𝗽𝘀 𝗙𝗿𝗮𝗺𝗲𝘄𝗼𝗿𝗸 | 𝗟𝗲𝗮𝗿𝗻 𝗠𝗟𝗘 & 𝗠𝗟𝗢𝗽𝘀 for free by designing, building and deploying an end-to-end ML batch system ~ 𝘴𝘰𝘶𝘳𝘤𝘦 𝘤𝘰𝘥𝘦 + 2.5 𝘩𝘰𝘶𝘳𝘴 𝘰𝘧 𝘳𝘦𝘢𝘥𝘪𝘯𝘨 & 𝘷𝘪𝘥𝘦𝘰 𝘮𝘢𝘵𝘦𝘳𝘪𝘢𝘭𝘴,https://github.com/iusztinpaul/energy-forecasting
telegram-action,GitHub Action that sends a Telegram message.,https://github.com/appleboy/telegram-action
goreleaser-action,GitHub Action for GoReleaser,https://github.com/goreleaser/goreleaser-action
test-reporter,Displays test results from popular testing frameworks directly in GitHub,https://github.com/dorny/test-reporter
trivy-action,Runs Trivy as GitHub action to scan your Docker container image for vulnerabilities,https://github.com/aquasecurity/trivy-action
expo-github-action,Expo GitHub Action makes it easy to automate EAS builds or updates,https://github.com/expo/expo-github-action
github-activity-readme,Updates README with the recent GitHub activity of a user,https://github.com/jamesgeorge007/github-activity-readme
godot-ci,Docker image to export Godot Engine games. Templates for Gitlab CI and GitHub Actions to deploy to GitLab Pages/GitHub Pages/Itch.io.,https://github.com/abarichello/godot-ci
terraform-github-actions,GitHub actions for terraform,https://github.com/dflook/terraform-github-actions
Publish-Docker-Github-Action,A Github Action used to build and publish Docker images,https://github.com/elgohr/Publish-Docker-Github-Action
changelogithub,Generate changelog for GitHub,https://github.com/antfu/changelogithub
ec2-github-runner,On-demand self-hosted AWS EC2 runner for GitHub Actions,https://github.com/machulav/ec2-github-runner
frosty,A mobile Twitch client for iOS and Android with 7TV, BetterTTV (BTTV), and FrankerFaceZ (FFZ) support.,https://github.com/tommyxchow/frosty
ai-codereviewer,AI Code Reviewer: Enhance your GitHub workflow with AI-powered code review! Get intelligent feedback and suggestions on pull requests using OpenAI's GPT-4 API, improving code quality and saving developers time.,https://github.com/aidar-freeed/ai-codereviewer
release-changelog-builder-action,A GitHub action that builds your release notes / changelog fast, easy and exactly the way you want.,https://github.com/mikepenz/release-changelog-builder-action
action-automatic-releases,READONLY: Auto-generated mirror for https://github.com/marvinpinto/actions/tree/master/packages/automatic-releases,https://github.com/marvinpinto/action-automatic-releases
action-download-artifact,:gear: A GitHub Action to download an artifact associated with given workflow and commit or other criteria,https://github.com/dawidd6/action-download-artifact
nightly.link,Downloads the latest "nightly" build/artifact from a continuous testing workflow,https://github.com/oprypin/nightly.link
next-starter,A Next.js starter template, packed with features like TypeScript, Tailwind CSS, Next-auth, Eslint, Stripe, testing tools and more. Jumpstart your project with efficiency and style.,https://github.com/Skolaczk/next-starter
xfrpc,The xfrpc project is a lightweight implementation of the FRP client written in C language for OpenWRT and IoT systems. It is designed to provide an efficient solution for resource-constrained devices such as OpenWRT routers and IoT devices, which often have limited ROM and RAM space.,https://github.com/liudf0716/xfrpc
hello-github-actions,Create a GitHub Action and use it in a workflow.,https://github.com/skills/hello-github-actions
action-hosting-deploy,Automatically deploy shareable previews for your Firebase Hosting sites,https://github.com/FirebaseExtended/action-hosting-deploy
deploy-pages,GitHub Action to publish artifacts to GitHub Pages for deployments,https://github.com/actions/deploy-pages
django-telegram-bot,My sexy Django + python-telegram-bot + Celery + Redis + Postgres + Dokku + GitHub Actions template,https://github.com/ohld/django-telegram-bot
devlopr-jekyll,(FREE SITE GENERATOR) - A Customizable/Hackable portfolio jekyll theme where you can blog using Markdown or CMS :rocket: in minutes built for developers. (with CMS) ✨,https://github.com/sujaykundu777/devlopr-jekyll
run-on-arch-action,A Github Action that executes jobs/commands on non-x86 cpu architectures (ARMv6, ARMv7, aarch64, s390x, ppc64le, riscv64) via QEMU,https://github.com/uraimo/run-on-arch-action
action,:bird: A GitHub action to tweet from a repository,https://github.com/twitter-together/action
upload-release-asset,An Action to upload a release asset via the GitHub Release API,https://github.com/actions/upload-release-asset
rebase,GitHub Action to automatically rebase PRs,https://github.com/cirrus-actions/rebase
gradle-build-action,Execute your Gradle build and trigger dependency submission,https://github.com/gradle/gradle-build-action
harden-runner,Harden-Runner is a CI/CD security agent that works like an EDR for GitHub Actions runners. It monitors network egress, file integrity, and process activity on those runners, detecting threats in real-time.,https://github.com/step-security/harden-runner
nextjs-prisma-boilerplate,Full stack boilerplate with Next.js, Prisma, Tailwind, TypeScript, Docker, Postgres, documentation, frontend and backend unit and integration tests with Jest, Cypress end-to-end tests, Github Actions CI/CD workflows, and production deployment with Traefik and Docker.,https://github.com/nemanjam/nextjs-prisma-boilerplate
gitee-pages-action,🤖 Auto Deploy Gitee Pages by GitHub Action | 无须人为干预，由 GitHub Action 自动部署 Gitee Pages,https://github.com/yanglbme/gitee-pages-action
github-action,:zap::octocat: A Github Action for deploying with the Serverless Framework,https://github.com/serverless/github-action
npm-install,GitHub Action for install npm dependencies with caching without any configuration,https://github.com/bahmutov/npm-install
vercel-action,This action make a deployment with github actions instead of Vercel builder.,https://github.com/amondnet/vercel-action
Clendar,Clendar - Minimal Calendar app. Written in SwiftUI.,https://github.com/vinhnx/Clendar
github-tag-action,A Github Action to automatically bump and tag master, on merge, with the latest SemVer formatted version. Works on any platform.,https://github.com/mathieudutour/github-tag-action
cargo,📦 GitHub Action for Rust `cargo` command,https://github.com/actions-rs/cargo
publish-unit-test-result-action,GitHub Action to publish unit test results on GitHub,https://github.com/EnricoMi/publish-unit-test-result-action
nn-template,Generic template to bootstrap your PyTorch project.,https://github.com/grok-ai/nn-template
cpp-project,Boiler plate template for C++ projects, with CMake, Doctest, Travis CI, Appveyor, Github Actions and coverage reports.,https://github.com/bsamseth/cpp-project
static_status,🚦Bash script to generate a static status page.,https://github.com/Cyclenerd/static_status
sonarcloud-github-action,Deprecated. Use https://github.com/SonarSource/sonarqube-scan-action instead.,https://github.com/SonarSource/sonarcloud-github-action
DenverCoder1,Jonah Lawrence's Profile README,https://github.com/DenverCoder1/DenverCoder1
action-slack,Provides the function of slack notification to GitHub Actions.,https://github.com/8398a7/action-slack
toolchain,🛠️ GitHub Action for `rustup` commands,https://github.com/actions-rs/toolchain
lint-action,✨ GitHub Action for detecting and auto-fixing lint errors,https://github.com/wearerequired/lint-action
terrateam,Terrateam is an open-source GitOps CI/CD platform for automating infrastructure workflows. It integrates with GitHub to orchestrate Terraform, OpenTofu, CDKTF, Terragrunt, and Pulumi operations via pull requests.,https://github.com/terrateamio/terrateam
ssh-key-action,GitHub Action that installs SSH key to .ssh,https://github.com/shimataro/ssh-key-action
github-workflows-kt,Authoring GitHub Actions workflows in Kotlin. You won't go back to YAML!,https://github.com/typesafegithub/github-workflows-kt
amazing-github-template,🚀 Useful README.md, LICENSE, CONTRIBUTING.md, CODE_OF_CONDUCT.md, SECURITY.md, GitHub Issues, Pull Requests and Actions templates to jumpstart your projects. ,https://github.com/dec0dOS/amazing-github-template
semantic-release-action,GitHub Action for Semantic Release,https://github.com/cycjimmy/semantic-release-action
runs-on,Self-hosted GitHub Actions runners made simple. For AWS. 10x cheaper, 30% faster, and unlimited caching. Best alternative to Actions Runner Controller.,https://github.com/runs-on/runs-on
actions-mtz-coupons,以自动化的方式领取外卖红包。,https://github.com/vv314/actions-mtz-coupons
tartelet,⚙️💻 A macOS app that makes it a breeze to manage multiple GitHub Actions runners in ephemeral virtual machines on a single host machine. The benefits are that runners can run in parallel, and each job runs in an isolated environment.,https://github.com/shapehq/tartelet
chatgpt-action,Let ChatGPT review PRs for you ,https://github.com/kxxt/chatgpt-action
action-wordpress-plugin-deploy,Deploy your plugin to the WordPress.org repository using GitHub Actions,https://github.com/10up/action-wordpress-plugin-deploy
gotestfmt,go test output for humans,https://github.com/GoTestTools/gotestfmt
rick-and-morty-info,Made with Clean architecture + TDD + GraphQL + flutter_bloc + CodeCov + GitHooks + GitHub Actions (CI/CD) and finally with 💙,https://github.com/vedartm/rick-and-morty-info
jest-coverage-report-action,Track your code coverage in every pull request.,https://github.com/ArtiomTr/jest-coverage-report-action
ghcertified,Prepare for GitHub Certification exams!,https://github.com/FidelusAleksander/ghcertified
setup-bun,Set up your GitHub Actions workflow with a specific version of Bun,https://github.com/oven-sh/setup-bun
AutoTaskScript,自动化任务脚本助手，支持青龙面板及 Docker 部署,https://github.com/sudojia/AutoTaskScript
safe-pg-migrations,Make your PostgreSQL migrations safe,https://github.com/doctolib/safe-pg-migrations
seed,Go application GitHub repository template.,https://github.com/golang-templates/seed
install-qt-action,Install Qt on your Github Actions workflows with just one simple action,https://github.com/jurplel/install-qt-action
deploy-cloudrun,A GitHub Action for deploying services to Google Cloud Run.,https://github.com/google-github-actions/deploy-cloudrun
setup-qemu-action,GitHub Action to install QEMU static binaries,https://github.com/docker/setup-qemu-action
lighthouse-check-action,GitHub Action for running @GoogleChromeLabs Lighthouse audits with all the bells and whistles 🔔 Multiple audits, Slack notifications, and more!,https://github.com/foo-software/lighthouse-check-action
nextjs-github-pages,🚀 Deploy a Next.js app to GitHub Pages via GitHub Actions,https://github.com/gregrickaby/nextjs-github-pages
kotlin-gradle-plugin-template,🐘 A template to let you started with custom Gradle Plugins + Kotlin in a few seconds,https://github.com/cortinico/kotlin-gradle-plugin-template
action,a GitHub action to run `pre-commit`,https://github.com/pre-commit/action
action-doctl,GitHub Actions for DigitalOcean - doctl,https://github.com/digitalocean/action-doctl
action-send-mail,:gear: A GitHub Action to send an email to multiple recipients,https://github.com/dawidd6/action-send-mail
safe-space,Github action that checks the toxicity level of comments and PR reviews to help make repos safe spaces.,https://github.com/charliegerard/safe-space
ghaction-github-pages,GitHub Action to deploy to GitHub Pages,https://github.com/crazy-max/ghaction-github-pages
github-action-push-to-another-repository,github Action to push files into another Github repository,https://github.com/cpina/github-action-push-to-another-repository
Kubernetes-configs,Advanced Kubernetes YAML configs - Best Practices, Tips & Tricks, Production-Ready Checklist - experience from several production environments. AWS, GCP, Azure, ArgoCD, GKE, EKS, AKS, Nginx, Traefik, Kong, Cert Manager, CI/CD, Jenkins, Artifactory, TeamCity, GitHub Actions, Cloud SQL, FluxCD, Spinnaker, Selenium Grid, Moon, Helm + Kustomize,https://github.com/HariSekhon/Kubernetes-configs
scoop-apps,使用Github Action每天自动合并其他scoop仓库的更新，仓库地址：https://github.com/kkzzhizhou/scoop-apps,https://github.com/kkzzhizhou/scoop-apps
manual-approval,Pause your GitHub Actions workflow and request manual approval from set approvers before continuing,https://github.com/trstringer/manual-approval
aws-nuke,Remove all the resources from an AWS account,https://github.com/ekristen/aws-nuke
vault-action,A GitHub Action that simplifies using HashiCorp Vault™ secrets as build variables.,https://github.com/hashicorp/vault-action
go-githubactions,Go SDK for GitHub Actions - easily author GitHub Actions in Go,https://github.com/sethvargo/go-githubactions
combine-mvvm,Sample project with Combine & UIKit framework, MVVM architecture,https://github.com/mcichecki/combine-mvvm
create-github-app-token,GitHub Action for creating a GitHub App Installation Access Token,https://github.com/actions/create-github-app-token
issue-metrics,Gather metrics on issues/prs/discussions such as time to first response, count of issues opened, closed, etc.,https://github.com/github/issue-metrics
actions-comment-run,Execute any script in a GitHub issue comment,https://github.com/nwtgck/actions-comment-run
create-envfile,Github Action to create a .env file with Github Secrets,https://github.com/SpicyPizza/create-envfile
github-actions-runner-operator,K8S operator for scheduling github actions runner pods,https://github.com/evryfs/github-actions-runner-operator
semantic-release,📦🚀 semantic-release written in Go,https://github.com/go-semantic-release/semantic-release
free-disk-space,:octocat:⚙️🗑️ A GitHub Action to free disk space on an Ubuntu runner.,https://github.com/jlumbroso/free-disk-space
antq,Point out your outdated dependencies.,https://github.com/liquidz/antq
auto-approve-action,👍 GitHub Action for automatically approving GitHub pull requests,https://github.com/hmarr/auto-approve-action
branch-deploy,Enabling Branch Deployments through IssueOps with GitHub Actions - If you find this project useful, give it a star! ⭐️ ,https://github.com/github/branch-deploy
action-docker-layer-caching,[CAUTION] This repository is not actively maintained. / Enable Docker layer caching in your GitHub Actions workflow.,https://github.com/satackey/action-docker-layer-caching
lambda-action,GitHub Action for Deploying Lambda code  to an existing function,https://github.com/appleboy/lambda-action
setup-miniconda,Set up your GitHub Actions workflow with conda via miniconda,https://github.com/conda-incubator/setup-miniconda
action-discord,🚀 GitHub Action that sends a Discord message.,https://github.com/Ilshidur/action-discord
cookiecutter-cms,Python-centric Cookiecutter for Molecular Computational Chemistry Packages,https://github.com/MolSSI/cookiecutter-cms
action,Show a helpful summary of test results in GitHub Actions CI/CD workflow runs,https://github.com/test-summary/action
maximize-build-space,Github action to maximize the available disk space on Github runners,https://github.com/easimon/maximize-build-space
hukum,An NPM module that displays Github Action progress in the terminal and aims to improve your development experience by printing status in realtime.,https://github.com/abskmj/hukum
simonw,https://simonwillison.net/2020/Jul/10/self-updating-profile-readme/,https://github.com/simonw/simonw
Firebase-Distribution-Github-Action,This action uploads artifacts (.apk or .ipa) to Firebase App Distribution.,https://github.com/wzieba/Firebase-Distribution-Github-Action
actions,A collection of useful GitHub Actions,https://github.com/maddox/actions
deployments,🔖 GitHub Action for working painlessly with deployment statuses,https://github.com/bobheadxi/deployments
prognoza,Libre weather app with widgets and offline support,https://github.com/davidtakac/prognoza
liberxue.github.io,Liberxue blog for lightweight Jekyll  themes  轻量级自适应 简洁 卡片式博客主题 3秒搞定GitHub blog,https://github.com/Liberxue/liberxue.github.io
rsync-deployments,GitHub Action for deploying code via rsync over ssh,https://github.com/Burnett01/rsync-deployments
godot-admob-android,Godot's AdMob Plugin for Android with support for Mediations.,https://github.com/poingstudios/godot-admob-android
django-react-typescript,This is a non-opinionated Django 5 + React 18 boilerplate built with great development experience and easy deployment in mind.,https://github.com/marcelovicentegc/django-react-typescript
pandoc-action-example,using the pandoc document converter on GitHub Actions,https://github.com/pandoc/pandoc-action-example
mkdkr,mkdkr = Makefile + Docker,https://github.com/rosineygp/mkdkr
DevOps-Books,Curated DevOps Books,https://github.com/DevOps-Projects-Ideas/DevOps-Books
xcresulttool,A GitHub Action that generates a human-readable test report from the Xcode result bundle and shows it on GitHub Checks.,https://github.com/kishikawakatsumi/xcresulttool
commitlint-github-action,Lints Pull Request commits with commitlint,https://github.com/wagoid/commitlint-github-action
action-deploy-theme,:octocat: Deploy your Ghost theme with Github Actions,https://github.com/TryGhost/action-deploy-theme
gitleaks-action,Protect your secrets using Gitleaks-Action,https://github.com/gitleaks/gitleaks-action
THIS_REPO_HAS_n_STARS,Click Star ⭐️ to see Github Actions, your name will be in README.md 😀,https://github.com/oslook/THIS_REPO_HAS_n_STARS
msvc-dev-cmd,GitHub Action to setup Developer Command Prompt for Microsoft Visual C++,https://github.com/ilammy/msvc-dev-cmd
flutter_template,A Flutter template application showcasing - Clean architecture, Responsive design, State management, Decoupled widgets using the connector pattern, Dependency Injection, Widget, Unit, Golden and E2E testing, Navigation, Localization, Material 3 dynamic theming, Continuous Integration and Continuous Deployment.,https://github.com/wednesday-solutions/flutter_template
cleanCppProject,Clean C++ project for you to use. Features: Modern CMake, CPack, Doxygen, PlantUML, Catch Unit testing, static analysis,https://github.com/kracejic/cleanCppProject
pr-size-labeler,🏷 Visualize and optionally limit the size of your Pull Requests,https://github.com/CodelyTV/pr-size-labeler
ghiblog,GitHub Issues Blog, powered by GitHub Issues and GitHub Actions,https://github.com/jwenjian/ghiblog
actions-comment-pull-request,GitHub action to comment pull request,https://github.com/thollander/actions-comment-pull-request
pull-request,⤵️ A GitHub Action for creating pull requests,https://github.com/repo-sync/pull-request
action-junit-report,Reports junit test results as GitHub Pull Request Check,https://github.com/mikepenz/action-junit-report
docker-build-with-cache-action,:octocat: Build and push docker images caching each stage to reduce build time,https://github.com/whoan/docker-build-with-cache-action
lighthouse-action,💡🏠 GitHub Action for running @GoogleChromeLabs Lighthouse webpage audits,https://github.com/jakejarvis/lighthouse-action
login,Connect to Azure,https://github.com/Azure/login
workflow-dispatch,A GitHub Action for triggering workflows, using the `workflow_dispatch` event,https://github.com/benc-uk/workflow-dispatch
lychee-action,Github action to check for broken links in Markdown, HTML, and text files using lychee, a fast link checker written in Rust.,https://github.com/lycheeverse/lychee-action
actions-netlify,🚀 Netlify deploy from GitHub Actions,https://github.com/nwtgck/actions-netlify
docker-nginx-php-laravel,Docker environment required to run Laravel (based on official php and mysql docker hub repositories),https://github.com/systemsdk/docker-nginx-php-laravel
Blazor.FileSystemAccess,A Blazor wrapper for the File System Access browser API.,https://github.com/KristofferStrube/Blazor.FileSystemAccess
cdk-github-runners,CDK constructs for self-hosted GitHub Actions runners,https://github.com/CloudSnorkel/cdk-github-runners
ggshield-action,GitGuardian Shield GitHub Action - Find exposed credentials in your commits,https://github.com/GitGuardian/ggshield-action
github-project-automation-plus,🤖 Automate GitHub Project cards with any webhook event,https://github.com/alex-page/github-project-automation-plus
ghaction-import-gpg,GitHub Action to import a GPG key,https://github.com/crazy-max/ghaction-import-gpg
gh-actions-yaml-generator,Ghygen is a GitHub Actions configurator for your PHP / Laravel project.,https://github.com/Hi-Folks/gh-actions-yaml-generator
