Name,Description,URL,Processed_Name,Processed_Description
30-seconds-web,Website infrastructure for 30-seconds projects.,https://github.com/Chalarangelo/30-seconds-web,['30secondsweb'],"['websit', 'infrastructur', '30second', 'project']"
lighthouse-ci-action,Audit URLs using Lighthouse and test performance with Lighthouse CI.,https://github.com/treosh/lighthouse-ci-action,['lighthouseciact'],"['audit', 'url', 'use', 'lighthous', 'test', 'perform', 'lighthous', 'ci']"
latex-action,:octocat: GitHub Action to compile LaTeX documents,https://github.com/xu-cheng/latex-action,['latexact'],"['octocat', 'github', 'action', 'compil', 'latex', 'document']"
add-and-commit,:octocat: Automatically commit changes made in your workflow run directly to your repo,https://github.com/EndBug/add-and-commit,['addandcommit'],"['octocat', 'automat', 'commit', 'chang', 'made', 'workflow', 'run', 'directli', 'repo']"
rdm-builder,Redis Desktop Manager Builder,https://github.com/FuckDoctors/rdm-builder,['rdmbuilder'],"['redi', 'desktop', 'manag', 'builder']"
login-action,GitHub Action to login against a Docker registry,https://github.com/docker/login-action,['loginact'],"['github', 'action', 'login', 'docker', 'registri']"
action-slack-notify,GitHub Action for sending a notification to a Slack channel,https://github.com/rtCamp/action-slack-notify,['actionslacknotifi'],"['github', 'action', 'send', 'notif', 'slack', 'channel']"
DockerTarBuilder,它是一个工作流。可快速构建指定架构/平台的docker镜像,https://github.com/wukongdaily/DockerTarBuilder,['dockertarbuild'],['docker']
JMComic-Crawler-Python,Python API for JMComic | 提供Python API访问禁漫天堂，同时支持网页端和移动端 | 禁漫天堂GitHub Actions下载器🚀,https://github.com/hect0x7/JMComic-Crawler-Python,['jmcomiccrawlerpython'],"['python', 'api', 'jmcomic', 'python', 'api', 'github', 'action']"
rig,The DevEx & Application-layer for your Internal Developer Platform ⛵,https://github.com/rigdev/rig,['rig'],"['devex', 'applicationlay', 'intern', 'develop', 'platform']"
s3-sync-action,🔄 GitHub Action to sync a directory with a remote S3 bucket 🧺,https://github.com/jakejarvis/s3-sync-action,['s3syncact'],"['github', 'action', 'sync', 'directori', 'remot', 's3', 'bucket']"
slack-github-action,Send data into Slack using this GitHub Action!,https://github.com/slackapi/slack-github-action,['slackgithubact'],"['send', 'data', 'slack', 'use', 'github', 'action']"
setup-buildx-action,GitHub Action to set up Docker Buildx,https://github.com/docker/setup-buildx-action,['setupbuildxact'],"['github', 'action', 'set', 'docker', 'buildx']"
github-actions-golang,GitHub Actions as CI for Go,https://github.com/mvdan/github-actions-golang,['githubactionsgolang'],"['github', 'action', 'ci', 'go']"
auth,A GitHub Action for authenticating to Google Cloud.,https://github.com/google-github-actions/auth,['auth'],"['github', 'action', 'authent', 'googl', 'cloud']"
hub-mirror,🚀 Docker 镜像代理，通过 GitHub Actions 将 docker.io、gcr.io、registry.k8s.io、k8s.gcr.io、quay.io、ghcr.io 等国外镜像转换为国内镜像加速下载,https://github.com/togettoyou/hub-mirror,['hubmirror'],"['docker', 'github', 'action', 'dockeriogcrioregistryk8siok8sgcrioquayioghcrio']"
Cilicon,🛠️ Self-Hosted ephemeral macOS CI on Apple Silicon,https://github.com/traderepublic/Cilicon,['cilicon'],"['selfhost', 'ephemer', 'maco', 'ci', 'appl', 'silicon']"
action-setup,Install pnpm package manager,https://github.com/pnpm/action-setup,['actionsetup'],"['instal', 'pnpm', 'packag', 'manag']"
heroku-deploy,A simple github action that dynamically deploys an app to heroku,https://github.com/AkhileshNS/heroku-deploy,['herokudeploy'],"['simpl', 'github', 'action', 'dynam', 'deploy', 'app', 'heroku']"
actions,GitHub Actions for the R community,https://github.com/r-lib/actions,['action'],"['github', 'action', 'r', 'commun']"
osmosfeed,Turn GitHub into an RSS reader,https://github.com/osmoscraft/osmosfeed,['osmosfe'],"['turn', 'github', 'rss', 'reader']"
cancel-workflow-action,⏹️ GitHub Action to cancel previous running workflows on push,https://github.com/styfle/cancel-workflow-action,['cancelworkflowact'],"['github', 'action', 'cancel', 'previou', 'run', 'workflow', 'push']"
actions-toolkit,🛠 A toolkit for building GitHub Actions in Node.js,https://github.com/JasonEtco/actions-toolkit,['actionstoolkit'],"['toolkit', 'build', 'github', 'action', 'nodej']"
firebase-action,GitHub Action for interacting with Firebase,https://github.com/w9jds/firebase-action,['firebaseact'],"['github', 'action', 'interact', 'firebas']"
HowToStartOpenSource,⚗️ GitHub开源项目维护协作指南,https://github.com/eryajf/HowToStartOpenSource,['howtostartopensourc'],['github']
telegram-action,GitHub Action that sends a Telegram message.,https://github.com/appleboy/telegram-action,['telegramact'],"['github', 'action', 'send', 'telegram', 'messag']"
goreleaser-action,GitHub Action for GoReleaser,https://github.com/goreleaser/goreleaser-action,['goreleaseract'],"['github', 'action', 'goreleas']"
test-reporter,Displays test results from popular testing frameworks directly in GitHub,https://github.com/dorny/test-reporter,['testreport'],"['display', 'test', 'result', 'popular', 'test', 'framework', 'directli', 'github']"
trivy-action,Runs Trivy as GitHub action to scan your Docker container image for vulnerabilities,https://github.com/aquasecurity/trivy-action,['trivyact'],"['run', 'trivi', 'github', 'action', 'scan', 'docker', 'contain', 'imag', 'vulner']"
expo-github-action,Expo GitHub Action makes it easy to automate EAS builds or updates,https://github.com/expo/expo-github-action,['expogithubact'],"['expo', 'github', 'action', 'make', 'easi', 'autom', 'ea', 'build', 'updat']"
github-activity-readme,Updates README with the recent GitHub activity of a user,https://github.com/jamesgeorge007/github-activity-readme,['githubactivityreadm'],"['updat', 'readm', 'recent', 'github', 'activ', 'user']"
godot-ci,Docker image to export Godot Engine games. Templates for Gitlab CI and GitHub Actions to deploy to GitLab Pages/GitHub Pages/Itch.io.,https://github.com/abarichello/godot-ci,['godotci'],"['docker', 'imag', 'export', 'godot', 'engin', 'game', 'templat', 'gitlab', 'ci', 'github', 'action', 'deploy', 'gitlab', 'pagesgithub', 'pagesitchio']"
terraform-github-actions,GitHub actions for terraform,https://github.com/dflook/terraform-github-actions,['terraformgithubact'],"['github', 'action', 'terraform']"
Publish-Docker-Github-Action,A Github Action used to build and publish Docker images,https://github.com/elgohr/Publish-Docker-Github-Action,['publishdockergithubact'],"['github', 'action', 'use', 'build', 'publish', 'docker', 'imag']"
changelogithub,Generate changelog for GitHub,https://github.com/antfu/changelogithub,['changelogithub'],"['gener', 'changelog', 'github']"
ec2-github-runner,On-demand self-hosted AWS EC2 runner for GitHub Actions,https://github.com/machulav/ec2-github-runner,['ec2githubrunn'],"['ondemand', 'selfhost', 'aw', 'ec2', 'runner', 'github', 'action']"
action-automatic-releases,READONLY: Auto-generated mirror for https://github.com/marvinpinto/actions/tree/master/packages/automatic-releases,https://github.com/marvinpinto/action-automatic-releases,['actionautomaticreleas'],"['readonli', 'autogener', 'mirror', 'httpsgithubcommarvinpintoactionstreemasterpackagesautomaticreleas']"
action-download-artifact,:gear: A GitHub Action to download an artifact associated with given workflow and commit or other criteria,https://github.com/dawidd6/action-download-artifact,['actiondownloadartifact'],"['gear', 'github', 'action', 'download', 'artifact', 'associ', 'given', 'workflow', 'commit', 'criterion']"
nightly.link,"Downloads the latest ""nightly"" build/artifact from a continuous testing workflow",https://github.com/oprypin/nightly.link,['nightlylink'],"['download', 'latest', 'nightli', 'buildartifact', 'continu', 'test', 'workflow']"
hello-github-actions,Create a GitHub Action and use it in a workflow.,https://github.com/skills/hello-github-actions,['hellogithubact'],"['creat', 'github', 'action', 'use', 'workflow']"
action-hosting-deploy,Automatically deploy shareable previews for your Firebase Hosting sites,https://github.com/FirebaseExtended/action-hosting-deploy,['actionhostingdeploy'],"['automat', 'deploy', 'shareabl', 'preview', 'firebas', 'host', 'site']"
deploy-pages,GitHub Action to publish artifacts to GitHub Pages for deployments,https://github.com/actions/deploy-pages,['deploypag'],"['github', 'action', 'publish', 'artifact', 'github', 'page', 'deploy']"
django-telegram-bot,My sexy Django + python-telegram-bot + Celery + Redis + Postgres + Dokku + GitHub Actions template,https://github.com/ohld/django-telegram-bot,['djangotelegrambot'],"['sexi', 'django', 'pythontelegrambot', 'celeri', 'redi', 'postgr', 'dokku', 'github', 'action', 'templat']"
devlopr-jekyll,(FREE SITE GENERATOR) - A Customizable/Hackable portfolio jekyll theme where you can blog using Markdown or CMS :rocket: in minutes built for developers. (with CMS) ✨,https://github.com/sujaykundu777/devlopr-jekyll,['devloprjekyl'],"['free', 'site', 'gener', 'customizablehack', 'portfolio', 'jekyl', 'theme', 'blog', 'use', 'markdown', 'cm', 'rocket', 'minut', 'built', 'develop', 'cm']"
action,:bird: A GitHub action to tweet from a repository,https://github.com/twitter-together/action,['action'],"['bird', 'github', 'action', 'tweet', 'repositori']"
upload-release-asset,An Action to upload a release asset via the GitHub Release API,https://github.com/actions/upload-release-asset,['uploadreleaseasset'],"['action', 'upload', 'releas', 'asset', 'via', 'github', 'releas', 'api']"
rebase,GitHub Action to automatically rebase PRs,https://github.com/cirrus-actions/rebase,['rebas'],"['github', 'action', 'automat', 'rebas', 'pr']"
gradle-build-action,Execute your Gradle build and trigger dependency submission,https://github.com/gradle/gradle-build-action,['gradlebuildact'],"['execut', 'gradl', 'build', 'trigger', 'depend', 'submiss']"
gitee-pages-action,🤖 Auto Deploy Gitee Pages by GitHub Action | 无须人为干预，由 GitHub Action 自动部署 Gitee Pages,https://github.com/yanglbme/gitee-pages-action,['giteepagesact'],"['auto', 'deploy', 'gite', 'page', 'github', 'action', 'github', 'action', 'gite', 'page']"
github-action,:zap::octocat: A Github Action for deploying with the Serverless Framework,https://github.com/serverless/github-action,['githubact'],"['zapoctocat', 'github', 'action', 'deploy', 'serverless', 'framework']"
npm-install,GitHub Action for install npm dependencies with caching without any configuration,https://github.com/bahmutov/npm-install,['npminstal'],"['github', 'action', 'instal', 'npm', 'depend', 'cach', 'without', 'configur']"
vercel-action,This action make a deployment with github actions instead of Vercel builder.,https://github.com/amondnet/vercel-action,['vercelact'],"['action', 'make', 'deploy', 'github', 'action', 'instead', 'vercel', 'builder']"
Clendar,Clendar - Minimal Calendar app. Written in SwiftUI.,https://github.com/vinhnx/Clendar,['clendar'],"['clendar', 'minim', 'calendar', 'app', 'written', 'swiftui']"
cargo,📦 GitHub Action for Rust `cargo` command,https://github.com/actions-rs/cargo,['cargo'],"['github', 'action', 'rust', 'cargo', 'command']"
publish-unit-test-result-action,GitHub Action to publish unit test results on GitHub,https://github.com/EnricoMi/publish-unit-test-result-action,['publishunittestresultact'],"['github', 'action', 'publish', 'unit', 'test', 'result', 'github']"
nn-template,Generic template to bootstrap your PyTorch project.,https://github.com/grok-ai/nn-template,['nntemplat'],"['gener', 'templat', 'bootstrap', 'pytorch', 'project']"
static_status,🚦Bash script to generate a static status page.,https://github.com/Cyclenerd/static_status,['staticstatu'],"['bash', 'script', 'gener', 'static', 'statu', 'page']"
sonarcloud-github-action,Deprecated. Use https://github.com/SonarSource/sonarqube-scan-action instead.,https://github.com/SonarSource/sonarcloud-github-action,['sonarcloudgithubact'],"['deprec', 'use', 'httpsgithubcomsonarsourcesonarqubescanact', 'instead']"
DenverCoder1,Jonah Lawrence's Profile README,https://github.com/DenverCoder1/DenverCoder1,['denvercoder1'],"['jonah', 'lawrenc', 'profil', 'readm']"
action-slack,Provides the function of slack notification to GitHub Actions.,https://github.com/8398a7/action-slack,['actionslack'],"['provid', 'function', 'slack', 'notif', 'github', 'action']"
toolchain,🛠️ GitHub Action for `rustup` commands,https://github.com/actions-rs/toolchain,['toolchain'],"['github', 'action', 'rustup', 'command']"
lint-action,✨ GitHub Action for detecting and auto-fixing lint errors,https://github.com/wearerequired/lint-action,['lintact'],"['github', 'action', 'detect', 'autofix', 'lint', 'error']"
ssh-key-action,GitHub Action that installs SSH key to .ssh,https://github.com/shimataro/ssh-key-action,['sshkeyact'],"['github', 'action', 'instal', 'ssh', 'key', 'ssh']"
github-workflows-kt,Authoring GitHub Actions workflows in Kotlin. You won't go back to YAML!,https://github.com/typesafegithub/github-workflows-kt,['githubworkflowskt'],"['author', 'github', 'action', 'workflow', 'kotlin', 'wont', 'go', 'back', 'yaml']"
semantic-release-action,GitHub Action for Semantic Release,https://github.com/cycjimmy/semantic-release-action,['semanticreleaseact'],"['github', 'action', 'semant', 'releas']"
actions-mtz-coupons,以自动化的方式领取外卖红包。,https://github.com/vv314/actions-mtz-coupons,['actionsmtzcoupon'],[]
chatgpt-action,Let ChatGPT review PRs for you ,https://github.com/kxxt/chatgpt-action,['chatgptact'],"['let', 'chatgpt', 'review', 'pr']"
action-wordpress-plugin-deploy,Deploy your plugin to the WordPress.org repository using GitHub Actions,https://github.com/10up/action-wordpress-plugin-deploy,['actionwordpressplugindeploy'],"['deploy', 'plugin', 'wordpressorg', 'repositori', 'use', 'github', 'action']"
gotestfmt,go test output for humans,https://github.com/GoTestTools/gotestfmt,['gotestfmt'],"['go', 'test', 'output', 'human']"
rick-and-morty-info,Made with Clean architecture + TDD + GraphQL + flutter_bloc + CodeCov + GitHooks + GitHub Actions (CI/CD) and finally with 💙,https://github.com/vedartm/rick-and-morty-info,['rickandmortyinfo'],"['made', 'clean', 'architectur', 'tdd', 'graphql', 'flutterbloc', 'codecov', 'githook', 'github', 'action', 'cicd', 'final']"
jest-coverage-report-action,Track your code coverage in every pull request.,https://github.com/ArtiomTr/jest-coverage-report-action,['jestcoveragereportact'],"['track', 'code', 'coverag', 'everi', 'pull', 'request']"
ghcertified,Prepare for GitHub Certification exams!,https://github.com/FidelusAleksander/ghcertified,['ghcertifi'],"['prepar', 'github', 'certif', 'exam']"
setup-bun,Set up your GitHub Actions workflow with a specific version of Bun,https://github.com/oven-sh/setup-bun,['setupbun'],"['set', 'github', 'action', 'workflow', 'specif', 'version', 'bun']"
AutoTaskScript,自动化任务脚本助手，支持青龙面板及 Docker 部署,https://github.com/sudojia/AutoTaskScript,['autotaskscript'],['docker']
safe-pg-migrations,Make your PostgreSQL migrations safe,https://github.com/doctolib/safe-pg-migrations,['safepgmigr'],"['make', 'postgresql', 'migrat', 'safe']"
seed,Go application GitHub repository template.,https://github.com/golang-templates/seed,['seed'],"['go', 'applic', 'github', 'repositori', 'templat']"
install-qt-action,Install Qt on your Github Actions workflows with just one simple action,https://github.com/jurplel/install-qt-action,['installqtact'],"['instal', 'qt', 'github', 'action', 'workflow', 'one', 'simpl', 'action']"
deploy-cloudrun,A GitHub Action for deploying services to Google Cloud Run.,https://github.com/google-github-actions/deploy-cloudrun,['deploycloudrun'],"['github', 'action', 'deploy', 'servic', 'googl', 'cloud', 'run']"
setup-qemu-action,GitHub Action to install QEMU static binaries,https://github.com/docker/setup-qemu-action,['setupqemuact'],"['github', 'action', 'instal', 'qemu', 'static', 'binari']"
nextjs-github-pages,🚀 Deploy a Next.js app to GitHub Pages via GitHub Actions,https://github.com/gregrickaby/nextjs-github-pages,['nextjsgithubpag'],"['deploy', 'nextj', 'app', 'github', 'page', 'via', 'github', 'action']"
kotlin-gradle-plugin-template,🐘 A template to let you started with custom Gradle Plugins + Kotlin in a few seconds,https://github.com/cortinico/kotlin-gradle-plugin-template,['kotlingradleplugintempl'],"['templat', 'let', 'start', 'custom', 'gradl', 'plugin', 'kotlin', 'second']"
action,a GitHub action to run `pre-commit`,https://github.com/pre-commit/action,['action'],"['github', 'action', 'run', 'precommit']"
action-doctl,GitHub Actions for DigitalOcean - doctl,https://github.com/digitalocean/action-doctl,['actiondoctl'],"['github', 'action', 'digitalocean', 'doctl']"
action-send-mail,:gear: A GitHub Action to send an email to multiple recipients,https://github.com/dawidd6/action-send-mail,['actionsendmail'],"['gear', 'github', 'action', 'send', 'email', 'multipl', 'recipi']"
safe-space,Github action that checks the toxicity level of comments and PR reviews to help make repos safe spaces.,https://github.com/charliegerard/safe-space,['safespac'],"['github', 'action', 'check', 'toxic', 'level', 'comment', 'pr', 'review', 'help', 'make', 'repo', 'safe', 'space']"
ghaction-github-pages,GitHub Action to deploy to GitHub Pages,https://github.com/crazy-max/ghaction-github-pages,['ghactiongithubpag'],"['github', 'action', 'deploy', 'github', 'page']"
github-action-push-to-another-repository,github Action to push files into another Github repository,https://github.com/cpina/github-action-push-to-another-repository,['githubactionpushtoanotherrepositori'],"['github', 'action', 'push', 'file', 'anoth', 'github', 'repositori']"
scoop-apps,使用Github Action每天自动合并其他scoop仓库的更新，仓库地址：https://github.com/kkzzhizhou/scoop-apps,https://github.com/kkzzhizhou/scoop-apps,['scoopapp'],"['github', 'actionscoophttpsgithubcomkkzzhizhouscoopapp']"
manual-approval,Pause your GitHub Actions workflow and request manual approval from set approvers before continuing,https://github.com/trstringer/manual-approval,['manualapprov'],"['paus', 'github', 'action', 'workflow', 'request', 'manual', 'approv', 'set', 'approv', 'continu']"
aws-nuke,Remove all the resources from an AWS account,https://github.com/ekristen/aws-nuke,['awsnuk'],"['remov', 'resourc', 'aw', 'account']"
vault-action,A GitHub Action that simplifies using HashiCorp Vault™ secrets as build variables.,https://github.com/hashicorp/vault-action,['vaultact'],"['github', 'action', 'simplifi', 'use', 'hashicorp', 'vault', 'secret', 'build', 'variabl']"
go-githubactions,Go SDK for GitHub Actions - easily author GitHub Actions in Go,https://github.com/sethvargo/go-githubactions,['gogithubact'],"['go', 'sdk', 'github', 'action', 'easili', 'author', 'github', 'action', 'go']"
create-github-app-token,GitHub Action for creating a GitHub App Installation Access Token,https://github.com/actions/create-github-app-token,['creategithubapptoken'],"['github', 'action', 'creat', 'github', 'app', 'instal', 'access', 'token']"
actions-comment-run,Execute any script in a GitHub issue comment,https://github.com/nwtgck/actions-comment-run,['actionscommentrun'],"['execut', 'script', 'github', 'issu', 'comment']"
create-envfile,Github Action to create a .env file with Github Secrets,https://github.com/SpicyPizza/create-envfile,['createenvfil'],"['github', 'action', 'creat', 'env', 'file', 'github', 'secret']"
github-actions-runner-operator,K8S operator for scheduling github actions runner pods,https://github.com/evryfs/github-actions-runner-operator,['githubactionsrunneroper'],"['k8', 'oper', 'schedul', 'github', 'action', 'runner', 'pod']"
semantic-release,📦🚀 semantic-release written in Go,https://github.com/go-semantic-release/semantic-release,['semanticreleas'],"['semanticreleas', 'written', 'go']"
free-disk-space,:octocat:⚙️🗑️ A GitHub Action to free disk space on an Ubuntu runner.,https://github.com/jlumbroso/free-disk-space,['freediskspac'],"['octocat', 'github', 'action', 'free', 'disk', 'space', 'ubuntu', 'runner']"
antq,Point out your outdated dependencies.,https://github.com/liquidz/antq,['antq'],"['point', 'outdat', 'depend']"
auto-approve-action,👍 GitHub Action for automatically approving GitHub pull requests,https://github.com/hmarr/auto-approve-action,['autoapproveact'],"['github', 'action', 'automat', 'approv', 'github', 'pull', 'request']"
action-docker-layer-caching,[CAUTION] This repository is not actively maintained. / Enable Docker layer caching in your GitHub Actions workflow.,https://github.com/satackey/action-docker-layer-caching,['actiondockerlayercach'],"['caution', 'repositori', 'activ', 'maintain', 'enabl', 'docker', 'layer', 'cach', 'github', 'action', 'workflow']"
lambda-action,GitHub Action for Deploying Lambda code  to an existing function,https://github.com/appleboy/lambda-action,['lambdaact'],"['github', 'action', 'deploy', 'lambda', 'code', 'exist', 'function']"
