0,1
"Nisei female. Born January 25, 1921, in Bellevue, Washington. Raised on a Bellevue farm, married and had a child before being incarcerated at the Pinedale Assembly Center, California, Tule Lake concentration camp, California, and Minidoka concentration camp, Idaho. In her interview, she discusses the Japanese American community in Bellevue before and after World War II.","['nisei', 'femal', 'born', 'januari', '25', '1921', 'bellevu', 'washington', 'rais', 'bellevu', 'farm', 'marri', 'child', 'incarcer', 'pinedal', 'assembl', 'center', 'california', 'tule', 'lake', 'concentr', 'camp', 'california', 'minidoka', 'concentr', 'camp', 'idaho', 'interview', 'discus', 'japanes', 'american', 'commun', 'bellevu', 'world', 'war', 'ii']"
"Sansei female. Born May 25, 1956. Member of San Jose Nihonmachi Outreach Committee (NOC) and National Coalition for Redress/Reparations (NCRR). Helped recruit individuals to testify during the San Francisco hearings for the Commission on Wartime Relocation and Internment of Citizens (CWRIC) and organized support for the redress movement at grassroots level.","['sansei', 'femal', 'born', 'may', '25', '1956', 'member', 'san', 'jose', 'nihonmachi', 'outreach', 'committe', 'noc', 'nation', 'coalit', 'redressrepar', 'ncrr', 'help', 'recruit', 'individu', 'testifi', 'san', 'francisco', 'hear', 'commiss', 'wartim', 'reloc', 'intern', 'citizen', 'cwric', 'organ', 'support', 'redress', 'movement', 'grassroot', 'level']"
"Nisei female. Born January 21, 1911, in Winslow, Washington. Grew up in Japan and the Fletcher's Bay area of Bainbridge Island, Washington. Member of the first group of Japanese Americans to be forcibly removed from their homes and incarcerated. Incarcerated at Manzanar concentration camp, California, and Minidoka concentration camp, Idaho, while pregnant and caring for two small children. Subject of famous photo of a mother carrying her sleeping child wearing evacuation tags.","['nisei', 'femal', 'born', 'januari', '21', '1911', 'winslow', 'washington', 'grew', 'japan', 'fletcher', 'bay', 'area', 'bainbridg', 'island', 'washington', 'member', 'first', 'group', 'japanes', 'american', 'forcibl', 'remov', 'home', 'incarcer', 'incarcer', 'manzanar', 'concentr', 'camp', 'california', 'minidoka', 'concentr', 'camp', 'idaho', 'pregnant', 'care', 'two', 'small', 'child', 'subject', 'famou', 'photo', 'mother', 'carri', 'sleep', 'child', 'wear', 'evacu', 'tag']"
"Nisei male. Born May 15, 1919, in Seattle, Washington. Grew up in a Japanese American farming community in Bellevue, Washington. Incarcerated at the Pinedale Assembly Center and Tule Lake concentration camp, both in California, and at Minidoka concentration camp, Idaho. Longtime member and supporter of the Japanese American Citizens League (JACL).","['nisei', 'male', 'born', 'may', '15', '1919', 'seattl', 'washington', 'grew', 'japanes', 'american', 'farm', 'commun', 'bellevu', 'washington', 'incarcer', 'pinedal', 'assembl', 'center', 'tule', 'lake', 'concentr', 'camp', 'california', 'minidoka', 'concentr', 'camp', 'idaho', 'longtim', 'member', 'support', 'japanes', 'american', 'citizen', 'leagu', 'jacl']"
"Nisei female. Born August 5, 1924, in Sacramento, California. Grew up in Sacramento and Los Angeles. During World War II, removed to the Manzanar concentration camp, California, and transferred to the Jerome concentration camp, Arkansas. Washington representative and researcher for National Council for Japanese American Redress (NCJAR) and primary archival researcher for the Commission on Wartime Relocation and Internment of Civilians (CWRIC), and the three coram nobis cases. Consultant to the Smithsonian Institution's National Museum of American History exhibition. ""A More Perfect Union: Japanese Americans and the United States Constitution""; and consultant for the Justice Department's Office of Redress Administration.","['nisei', 'femal', 'born', 'august', '5', '1924', 'sacramento', 'california', 'grew', 'sacramento', 'lo', 'angel', 'world', 'war', 'ii', 'remov', 'manzanar', 'concentr', 'camp', 'california', 'transfer', 'jerom', 'concentr', 'camp', 'arkansa', 'washington', 'repres', 'research', 'nation', 'council', 'japanes', 'american', 'redress', 'ncjar', 'primari', 'archiv', 'research', 'commiss', 'wartim', 'reloc', 'intern', 'civilian', 'cwric', 'three', 'coram', 'nobi', 'case', 'consult', 'smithsonian', 'institut', 'nation', 'museum', 'american', 'histori', 'exhibit', 'perfect', 'union', 'japanes', 'american', 'unit', 'state', 'constitut', 'consult', 'justic', 'depart', 'offic', 'redress', 'administr']"
"Nisei male. Born April 23, 1918, in Seattle, Washington. Spent most of his childhood in Thomas, Washington, where his parents were part of a Christian farming co-op. Attended the University of Washington where he was active in the Young Men's Christian Association (YMCA), the conscientious objector movement, and became a Quaker. At the outbreak of World War II, he was one of only a handful of individuals to challenge the curfew and removal orders being enforced against Japanese on the West Coast, citing ""Christian principles,"" and asserting ""a duty to maintain the democratic standards for which this nation lives."" He turned himself in to the FBI, was found guilty, and served time for violating the curfew order, and failing to report for ""evacuation."" While serving time for this conviction, Gordon was served with a draft notice and again, refused to comply. He subsequently served another period of time as a draft resister. In 1943 the Supreme Court upheld his convictions. In 1983, a team of attorneys filed a petition for writ of error coram nobis in the U.S. District Court for the Western District of Washington in Seattle. Gordon's convictions surrounding the incarceration were vacated by the Ninth Circuit Court of Appeals on September 24, 1987, which argued in part that, ""racial bias was the cornerstone of the internment orders.""","['nisei', 'male', 'born', 'april', '23', '1918', 'seattl', 'washington', 'spent', 'childhood', 'thoma', 'washington', 'parent', 'part', 'christian', 'farm', 'coop', 'attend', 'univers', 'washington', 'activ', 'young', 'men', 'christian', 'associ', 'ymca', 'conscienti', 'objector', 'movement', 'becam', 'quaker', 'outbreak', 'world', 'war', 'ii', 'one', 'hand', 'individu', 'challeng', 'curfew', 'remov', 'order', 'enforc', 'japanes', 'west', 'coast', 'cite', 'christian', 'principl', 'assert', 'duti', 'maintain', 'democrat', 'standard', 'nation', 'live', 'turn', 'fbi', 'found', 'guilti', 'serv', 'time', 'violat', 'curfew', 'order', 'fail', 'report', 'evacu', 'serv', 'time', 'convict', 'gordon', 'serv', 'draft', 'notic', 'refus', 'compli', 'subsequ', 'serv', 'anoth', 'period', 'time', 'draft', 'resist', '1943', 'suprem', 'court', 'upheld', 'convict', '1983', 'team', 'attorney', 'file', 'petit', 'writ', 'error', 'coram', 'nobi', 'u', 'district', 'court', 'western', 'district', 'washington', 'seattl', 'gordon', 'convict', 'surround', 'incarcer', 'vacat', 'ninth', 'circuit', 'court', 'appeal', 'septemb', '24', '1987', 'argu', 'part', 'racial', 'bia', 'cornerston', 'intern', 'order']"
"Nisei male. Born February 11, 1908, in Lodi, California. Resettled voluntarily to Mankato, Minnesota, prior to mass removal. Resettled in central California in 1947. Member of the Japanese American Citizens League (JACL) since 1929. Became active in the redress movement as fundraiser and lobbyist for Central California District Council of JACL.","['nisei', 'male', 'born', 'februari', '11', '1908', 'lodi', 'california', 'resettl', 'voluntarili', 'mankato', 'minnesota', 'prior', 'mass', 'remov', 'resettl', 'central', 'california', '1947', 'member', 'japanes', 'american', 'citizen', 'leagu', 'jacl', 'sinc', '1929', 'becam', 'activ', 'redress', 'movement', 'fundrais', 'lobbyist', 'central', 'california', 'district', 'council', 'jacl']"
"'Nisei female. Born November 27, 1926, in Wenatchee, Washington. Grew up in Wenatchee and moved to Seattle with family in 1938. Incarcerated at the Puyallup Assembly Center, Washington, and Minidoka concentration camp, Idaho. Resettled during World War II in Pocatello, Idaho. Returned to Seattle after World War II.","['nisei', 'femal', 'born', 'novemb', '27', '1926', 'wenatche', 'washington', 'grew', 'wenatche', 'move', 'seattl', 'famili', '1938', 'incarcer', 'puyallup', 'assembl', 'center', 'washington', 'minidoka', 'concentr', 'camp', 'idaho', 'resettl', 'world', 'war', 'ii', 'pocatello', 'idaho', 'return', 'seattl', 'world', 'war', 'ii']"
"Nisei male. February 17, 1910, in Bellevue, Washington. During World War II, incarcerated at the Pinedale Assembly Center, California, and Tule Lake concentration camp, California. Prior to the war, family was part of a Japanese American ""Eastside"" community that cleared and farmed a large portion of what is now the Bellevue-Kirkland-Redmond area.","['nisei', 'male', 'februari', '17', '1910', 'bellevu', 'washington', 'world', 'war', 'ii', 'incarcer', 'pinedal', 'assembl', 'center', 'california', 'tule', 'lake', 'concentr', 'camp', 'california', 'prior', 'war', 'famili', 'part', 'japanes', 'american', 'eastsid', 'commun', 'clear', 'farm', 'larg', 'portion', 'bellevuekirklandredmond', 'area']"
"Nisei male. Born October 23, 1922, in Bellevue, Washington. During World War II, incarcerated at the Pinedale Assembly Center, California, and Tule Lake concentration camp, California. Prior to the war, family was part of a Japanese American ""Eastside"" community that cleared and farmed a large portion of what is now the Bellevue-Kirkland-Redmond area.","['nisei', 'male', 'born', 'octob', '23', '1922', 'bellevu', 'washington', 'world', 'war', 'ii', 'incarcer', 'pinedal', 'assembl', 'center', 'california', 'tule', 'lake', 'concentr', 'camp', 'california', 'prior', 'war', 'famili', 'part', 'japanes', 'american', 'eastsid', 'commun', 'clear', 'farm', 'larg', 'portion', 'bellevuekirklandredmond', 'area']"
"Nisei male. Born February 7, 1913, in Bellevue, Washington. During World War II, incarcerated at the Pinedale Assembly Center, California, and Tule Lake concentration camp, California. Prior to the war, family was part of a Japanese American ""Eastside"" community that cleared and farmed a large portion of what is now the Bellevue-Kirkland-Redmond area.","['nisei', 'male', 'born', 'februari', '7', '1913', 'bellevu', 'washington', 'world', 'war', 'ii', 'incarcer', 'pinedal', 'assembl', 'center', 'california', 'tule', 'lake', 'concentr', 'camp', 'california', 'prior', 'war', 'famili', 'part', 'japanes', 'american', 'eastsid', 'commun', 'clear', 'farm', 'larg', 'portion', 'bellevuekirklandredmond', 'area']"
"Issei female. Born June 19, 1911, in Tono City, Iwate-ken, Japan. Immigrated to the United States in 1929. Incarcerated at the Santa Anita Assembly Center, California, and Amache concentration camp, Colorado. Father established and ministered the first Western-style Christian church in Tono City. Husband was assigned to the Santa Anita Assembly Center as the official head dentist, then passed away in Amache concentration camp.","['issei', 'femal', 'born', 'june', '19', '1911', 'tono', 'citi', 'iwateken', 'japan', 'immigr', 'unit', 'state', '1929', 'incarcer', 'santa', 'anita', 'assembl', 'center', 'california', 'amach', 'concentr', 'camp', 'colorado', 'father', 'establish', 'minist', 'first', 'westernstyl', 'christian', 'church', 'tono', 'citi', 'husband', 'assign', 'santa', 'anita', 'assembl', 'center', 'offici', 'head', 'dentist', 'pas', 'away', 'amach', 'concentr', 'camp']"
"Nisei male. Born January 21, 1918, in Seattle, Washington. Grew up in Seattle, where parents owned hotels in the International District. In his interview, discusses Japanese American hotel ownership from the early to mid-1900s and the role of the hotel association in the Japanese American community.","['nisei', 'male', 'born', 'januari', '21', '1918', 'seattl', 'washington', 'grew', 'seattl', 'parent', 'own', 'hotel', 'intern', 'district', 'interview', 'discus', 'japanes', 'american', 'hotel', 'ownership', 'earli', 'mid1900', 'role', 'hotel', 'associ', 'japanes', 'american', 'commun']"
"Nisei male. Born October 22, 1914, in Seattle, Washington. Grew up in Seattle, where parents owned hotels in the International District. In his interview, discusses Japanese American hotel ownership from the early to mid-1900s and the role of the hotel association in the Japanese American community.","['nisei', 'male', 'born', 'octob', '22', '1914', 'seattl', 'washington', 'grew', 'seattl', 'parent', 'own', 'hotel', 'intern', 'district', 'interview', 'discus', 'japanes', 'american', 'hotel', 'ownership', 'earli', 'mid1900', 'role', 'hotel', 'associ', 'japanes', 'american', 'commun']"
"Issei male. Born March 30, 1916, in Kure, Japan. Immigrated with parents to Seattle as a child, where parents ran several hotels and apartment buildings in the International District, as well as the Tazuma Ten Cent store. In his interview, discusses Japanese American hotel ownership from the early to mid-1900s and the role of the hotel association in the Japanese American community.","['issei', 'male', 'born', 'march', '30', '1916', 'kure', 'japan', 'immigr', 'parent', 'seattl', 'child', 'parent', 'ran', 'sever', 'hotel', 'apart', 'build', 'intern', 'district', 'well', 'tazuma', 'ten', 'cent', 'store', 'interview', 'discus', 'japanes', 'american', 'hotel', 'ownership', 'earli', 'mid1900', 'role', 'hotel', 'associ', 'japanes', 'american', 'commun']"
"Nisei male. Born April 28, 1919, in Seattle, Washington. Spent prewar years in Seattle's Central area. Incarcerated at the Puyallup Assembly Center, Washington, and Minidoka concentration camp, Idaho. Resisted draft orders and was imprisoned at McNeil Island Penitentiary, Washington. Resettled in Seattle area after release.","['nisei', 'male', 'born', 'april', '28', '1919', 'seattl', 'washington', 'spent', 'prewar', 'year', 'seattl', 'central', 'area', 'incarcer', 'puyallup', 'assembl', 'center', 'washington', 'minidoka', 'concentr', 'camp', 'idaho', 'resist', 'draft', 'order', 'imprison', 'mcneil', 'island', 'penitentiari', 'washington', 'resettl', 'seattl', 'area', 'releas']"
"Sansei male, born April 28, 1944, in the Gila River concentration camp, Arizona. His father was the late Rev. Kanmo Imamura, a former Bishop of Hawaii and a minister for the Hawaii Kyodan and the Buddhist Churches of America (BCA). His mother Jane Imamura composed many of the children's gathas sung in the Dharma Schools. Both of his grandfathers were Issei ministers, who were instrumental in bringing Jodo Shin Buddhism to America at the beginning of the century. His paternal grandfather was Bishop Yemyo Imamura of the Hawaii Kyodan. And his maternal grandfather was Rev. Issei Matsuura of the Buddhist Churches of America. He received a Bachelor's degree in Mathematics from the University of California at Berkeley, a Master's degree in Counseling from the San Francisco State University, and a Doctorate degree in Counseling Psychology from the University of San Francisco. He received the tokudo and kyoshi ordinations in Kyoto in 1971-2 after which he was a minister for the Hawaii Kyodan and director of the Buddhist Study Center for 4 years and a BCA minister for 11 years. Before moving to Washington in 1988, he was a psychotherapist in California and co-founder of the East-West Counseling Center. Currently he is a professor of Psychology at The Evergreen State College in Olympia, Washington. The focus of his teaching and research is East-West Psychology with an emphasis on Buddhist thought and practice.","['sansei', 'male', 'born', 'april', '28', '1944', 'gila', 'river', 'concentr', 'camp', 'arizona', 'father', 'late', 'rev', 'kanmo', 'imamura', 'former', 'bishop', 'hawaii', 'minist', 'hawaii', 'kyodan', 'buddhist', 'church', 'america', 'bca', 'mother', 'jane', 'imamura', 'compos', 'mani', 'child', 'gatha', 'sung', 'dharma', 'school', 'grandfath', 'issei', 'minist', 'instrument', 'bring', 'jodo', 'shin', 'buddhism', 'america', 'begin', 'centuri', 'patern', 'grandfath', 'bishop', 'yemyo', 'imamura', 'hawaii', 'kyodan', 'matern', 'grandfath', 'rev', 'issei', 'matsuura', 'buddhist', 'church', 'america', 'receiv', 'bachelor', 'degre', 'mathemat', 'univers', 'california', 'berkeley', 'master', 'degre', 'counsel', 'san', 'francisco', 'state', 'univers', 'doctor', 'degre', 'counsel', 'psycholog', 'univers', 'san', 'francisco', 'receiv', 'tokudo', 'kyoshi', 'ordin', 'kyoto', '19712', 'minist', 'hawaii', 'kyodan', 'director', 'buddhist', 'studi', 'center', '4', 'year', 'bca', 'minist', '11', 'year', 'move', 'washington', '1988', 'psychotherapist', 'california', 'cofound', 'eastwest', 'counsel', 'center', 'current', 'professor', 'psycholog', 'evergreen', 'state', 'colleg', 'olympia', 'washington', 'focu', 'teach', 'research', 'eastwest', 'psycholog', 'emphasi', 'buddhist', 'thought', 'practic']"
"Nisei male. Born September 7, 1924, in Honolulu, Hawaii. Served in the all-volunteer, all-Nisei, 442nd Regimental Combat Team during World War II, lost his right arm in action and earned the Distinguished Service Cross. Following the war, became an attorney, then a six-term senator for Hawaii. Sat on the Select Committee on Intelligence, Select Committee on Indian Affairs, and the Select Committee on Secret Military Assistance to Iran and the Nicaraguan Opposition. On June 28, 2010, Inouye was sworn in as President Pro-Tempore of the Senate. He was serving his ninth consecutive term when he passed away on December 17, 2012.","['nisei', 'male', 'born', 'septemb', '7', '1924', 'honolulu', 'hawaii', 'serv', 'allvolunt', 'allnisei', '442nd', 'regiment', 'combat', 'team', 'world', 'war', 'ii', 'lost', 'right', 'arm', 'action', 'earn', 'distinguish', 'servic', 'cross', 'follow', 'war', 'becam', 'attorney', 'sixterm', 'senat', 'hawaii', 'sat', 'select', 'committe', 'intellig', 'select', 'committe', 'indian', 'affair', 'select', 'committe', 'secret', 'militari', 'assist', 'iran', 'nicaraguan', 'opposit', 'june', '28', '2010', 'inouy', 'sworn', 'presid', 'protempor', 'senat', 'serv', 'ninth', 'consecut', 'term', 'pas', 'away', 'decemb', '17', '2012']"
"Nisei male. Born July 27, 1919, in Stockton, California. Emeritus professor of anatomy at Harvard Medical School. During World War II, was second lieutenant, 522nd Field Artillery Battalion of the 442nd Regimental Combat Team. In his interview, he discusses his memories of serving in the 442nd and some of the more psychological aspects of combat.","['nisei', 'male', 'born', 'juli', '27', '1919', 'stockton', 'california', 'emeritu', 'professor', 'anatomi', 'harvard', 'medic', 'school', 'world', 'war', 'ii', 'second', 'lieuten', '522nd', 'field', 'artilleri', 'battalion', '442nd', 'regiment', 'combat', 'team', 'interview', 'discus', 'memori', 'serv', '442nd', 'psycholog', 'aspect', 'combat']"
"Nisei male. Born March 12, 1928, in Oyster Bay, Washington. Incarcerated at Tule Lake concentration camp, California. Served as fundraising chair for the Japanese American Citizens League's Legislative Education Committee from 1984 to 1985 and raised over half a million dollars for the redress effort. Became president of the National JACL in 1986.","['nisei', 'male', 'born', 'march', '12', '1928', 'oyster', 'bay', 'washington', 'incarcer', 'tule', 'lake', 'concentr', 'camp', 'california', 'serv', 'fundrais', 'chair', 'japanes', 'american', 'citizen', 'leagu', 'legisl', 'educ', 'committe', '1984', '1985', 'rais', 'half', 'million', 'dollar', 'redress', 'effort', 'becam', 'presid', 'nation', 'jacl', '1986']"
"Nisei female. Born April 25, 1926, in Seattle, Washington. Incarcerated at the Puyallup Assembly Center, Washington, and Minidoka concentration camp, Idaho. Resettled during the war in Chicago, Illinois, and returned to Seattle after the war. Member of the Seattle Nisei Veterans Committee Women's Auxiliary. In her interview, talks about her efforts to successfully get her husband's wartime court-martial conviction vacated after his death.","['nisei', 'femal', 'born', 'april', '25', '1926', 'seattl', 'washington', 'incarcer', 'puyallup', 'assembl', 'center', 'washington', 'minidoka', 'concentr', 'camp', 'idaho', 'resettl', 'war', 'chicago', 'illinoi', 'return', 'seattl', 'war', 'member', 'seattl', 'nisei', 'veteran', 'committe', 'woman', 'auxiliari', 'interview', 'talk', 'effort', 'success', 'get', 'husband', 'wartim', 'courtmarti', 'convict', 'vacat', 'death']"
